tat16/31'CL, HIV I TAT
D3F3'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CHA-RIDE
2H1'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
SiP047'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
rsv13L'CL, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS F GLY-CO-PRO-TEIN
BA3'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CHA-RIDE
FS2, VH4 34
VH4-34, VH4 34
ToP239'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP031'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP032'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
Pab 419'CL, CAR-BOXYL TER-MI-NUS OF SV40 T ANTI-GEN
GEE, VH4 34
ITC33'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
scFv27, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
scFv7, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
RAY4'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  RI-BO-SYL-RIBITOLPHOS-PHATE
Fd138-80'CL, HER-PES SIM-PLEX VIRUS 1 GLY-CO-PRO-TEIN B AND GLY-CO-PRO-TEIN D
SiP034'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
'CL, HEP-ATI-TIS B
R6'CL, SIND-BIS VIRUS E2 EN-VE-LOPE GLY-CO-PRO-TEIN
ToPA132'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP102'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP035'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA101'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
H6-3C4, VH4 34
ToPA142'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SB1/D8'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  RI-BO-SYL-RIBITOLPHOS-PHATE
ToPA208'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP103'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP036'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP104'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP037'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA121'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ED8.4'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  RI-BO-SYL-RIBITOLPHOS-PHATE
SiP020'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
A6H4C5, VH4 34
SiP021'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
FS3, VH4 34
ToP212'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG433'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
JB32'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
SC6'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CHA-RIDE
CAL4G, VH4 34
ToPA110'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA280'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SD15'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
A1.2'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
SiP023'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
RC3'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
scFv6, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
ToP214'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
rsv23L'CL, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS F GLY-CO-PRO-TEIN
O18 ALLELE'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CARIDE
O8'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CARIDE
Fab17-IA'CL, NEU-TRAL-IZ-ING IM-MUNO-GENIC SITE A OF HU-MAN RHI-NO-VIRUS 1
ToPA139'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
104-A6'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
scFv19, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
4C2'CL, HEP-ATI-TIS B
ToPG344'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA247'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA118'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP250'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP218'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ITC48'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
SiP060'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
FS9, VH4 34
FS4, VH4 34
A2.1'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
SiP061'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
216, VH4 34
ToP023'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ITC63B'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
RT2B, VH4 34
SiP062'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG343'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP310'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA246'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP013'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP063'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HuFd79'CL, HER-PES SIM-PLEX VIRUS 1 GLY-CO-PRO-TEIN B AND GLY-CO-PRO-TEIN D
ToP204'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
Pab 405'CL, CAR-BOXYL TER-MI-NUS OF SV40 T ANTI-GEN
ToP254'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
Fd79'CL, HER-PES SIM-PLEX VIRUS 1 GLY-CO-PRO-TEIN B AND GLY-CO-PRO-TEIN D
ToPG410'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA215'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
16M3C8'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
WW, VH4 34
SiP015'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
VHD42.INF127'CL, IN-FLUEN-ZA
Pab 101'CL, CAR-BOXYL TER-MI-NUS OF SV40 T ANTI-GEN
ToP312'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
rsv6H'CL, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS F GLY-CO-PRO-TEIN
ToPA137'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP206'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
S2OA2, VH4 34
ToP027'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP066'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP028'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP017'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HuFd138-80'CL, HER-PES SIM-PLEX VIRUS 1 GLY-CO-PRO-TEIN B AND GLY-CO-PRO-TEIN D
ToPG440'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SOL10'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  HIB PS
ToPA126'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP018'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA214'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP001'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
FS5, VH4 34
ToPG418'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
LSF2'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  RI-BO-SYL-RIBITOLPHOS-PHATE
SiP019'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP052'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG331'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA136'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPG438'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP243'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP014'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP053'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG341'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP015'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA115'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA203'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA244'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
