I'CL, 2 PHENY-LOX-A-ZOL 5 ONE
71-2H11'CL, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
RF-IP8'CL, RHEUMA-TOID FAC-TOR
mAb107'CL, RA-BIES VIRUS
GP68'CL, V3 DO-MAIN OF HIV 1 GP120.
Bg53-15'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
RZ5-8 'CL, EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=5.0X10-EX-P6
99D.7E'CL, DS-D-NA  PHOS-PHO-RYL-CHOLINE
Vl HER2'CL, LAMIN B AU-TOAN-TI-BODY
C488-31H'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
IC4'CL, DNA
Na 11-H'CL, DNP
m54S/N, ID-IO-TYP-IC
44SNQP34, 2 PHENY-LOX-A-ZOL-ONE
CAMPATH-9, HU-MAN CD4
221.3G5''CL, PHOS-PHO-CHOLINE SPE-CIF-IC DE-TER-MI-NANT IN PRO-TEUS MOR-GANII
GAR, RI-BOFLAVIN
ST40'CL, CD4
48'CL, P AZOPHENY-LAR-SON-ATE KEY-HOLE LIMPET HEMO-CYANIN
MRL2-146'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
202.54'CL, DNA
BKV22'CL, DS-D-NA
9F2L'CL, GAN-GLIO-SIDE AU-TOAN-TI-BODY  GAL-GALNAC BSA
J539, BE-TA 1 6 D GALAC-TAN
T33-2'CL, DNA
III-18'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
65.3, MYELIN OLIGO-DEN-DRO-CYTE GLY-CO-PRO-TEIN  MOG
163.16, P53
CB 391'CL, HU-MAN AND MOUSE TYPE II COL-LA-GEN C1 EPI-TOPE  RESIDUES 316 TO 333
MMW.7.2'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
BSb58'CL, PHOS-PHO-RYL-CHOLINE
BC-1004'CL, BLOOD GROUP B SUB-STANCE HY-BRIDO-MA
BW9-7'CL, DNA
417.F32.26'CL, MONORE-AC-TIVE
AKR-8'CL, DNA
AZ-3'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
SO5'CL, AN-TI9 HLA DQ3
3D5'CL, NEU-TRAL-IZ-ING HIV 1
aly47-6'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Mb_60-H'CL, DINI-TRO-PHENYL
MRL2-171'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
NQT15/10A'CL, 2 PHENY-LOX-A-ZOL-ONE
slkv22'CL, IGG POLY-CLON-AL RHEUMA-TOID FAC-TOR
4.8.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
HDEX37, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
MRL1-45'CL, SS-D-NA  HO-MO-GE-NEOUS NU-CLE-AR
WOL, HU-MAN GAM-MA G GLOB-U-LIN; WA ID-IO-TYPE
s'CL, 2 PHENYL0X-A-ZOL 5 ONE
ITC33'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
RF-5 PAN'CL, IGG PAN RHEUMA-TOID FAC-TOR
1E10'CL, MOUSE RED BLOOD CELL AU-TOAN-TI-BOD-IES
4H11'CL, HU-MAN PRO-COL-LA-GE-NASE
M01'CL, RH D
224.7E7'CL, PHOS-PHO-RYL-CHOLINE  S.P-NEU-MO-NI-AE STR. R36A  HY-BRIDO-MA
mAb114'CL, IGG FC FRAG-MENT RHEUMA-TOID FAC-TOR
163.23, P53
J1-1E6'CL, POLY L  TYR GLU  POLY D L ALA  POLYL LYS HY-BRIDO-MA
B17-3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
101'CL, PSEU-DOMONAS AERUG-I-NOSA LIPOPOLY-SAC-CHA-RIDE OUT-ER CORE
129-48'CL, IGG HY-BRIDO-MA
NQT17/10A'CL, 2 PHENY-LOX-A-ZOL-ONE
S4 2D'CL, EPI-DER-MAL GROWTH FAC-TOR RE-CEP-TOR
36.2.2'CL, STREP-TO-COC-CAL M PRO-TEIN  MYOSIN  LIGHT MEROMYOSIN  TROPOMYOSIN  KER-ATIN
Z35VH1'CL, CD20
BW16B2'CL, DS-D-NA
40SNQP2, 2 PHENY-LOX-A-ZOL-ONE
A9'CL, GP41
PA3'CL, CHRO-MATIN
AL/3/12'CL, CHON-DROITIN SUL-PHATE PRO-TEO-GLY-CAN NG2  A TU-MOR SPE-CIF-IC ANTI-GEN ON THE 3 4 BEN-ZPYRENE IN-DUCED RAT CHON-DROSAR-CO-MA HSN
mAb426.12.3F1.4'CL, POLYRE-AC-TIVE AU-TOAN-TI-BODY
2C2A'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=5.9X10-EX-P6
HT, VH4 34
WSd20'CL, PHOS-PHO-RYL-CHOLINE
B17-7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NZW11F7'CL, DS-D-NA
NQT15/23A'CL, 2 PHENY-LOX-A-ZOL-ONE
AN02, DINI-TRO-PHENYL HY-BRIDO-MA
lambda3'CL, HU-MAN THY-ROGLOB-U-LIN
TH3'CL, SS-D-NA  IGG HY-BRIDO-MA
20G9'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
22.3, MYELIN OLIGO-DEN-DRO-CYTE GLY-CO-PRO-TEIN  MOG
SiP003'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
1E10''CL, CRYP-TO-COC-CUS NE-O-FOR-MANS POLY-SAC-CHA-RIDE  SEROP-TYPE A
BKV22'CL, DS-D-NA
F8, MESOTHE-LIN
F14'CL, ARS
F2'CL, MELANOMA
C57BL 23169, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA  BIND-ING CON-STAN-T=3.0X10-EX-P5
2INH6'CL, HU-MAN IN-SULIN
HIV-b24'CL, HIV 1 GP120
NQT15/2A'CL, 2 PHENY-LOX-A-ZOL-ONE
133.25'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
RF-IP10'CL, RHEUMA-TOID FAC-TOR
1G2'CL, EAR-LY NU-CLE-O-SOME AU-TOAN-TI-BODY  KD = 6.7X10-EXP 8
BS.1.22'CL, HIV 1 GP120 V3 LOOP
BSc27'CL, PHOS-PHO-RYL-CHOLINE
84-32'CL, DNA
ka3les'CL, IGG  RHEUMA-TOID FAC-TOR
MMW.4.10'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
L100'CL, HIV 1 GP120
m15.23, ID-IO-TYP-IC
Lb 10-H'CL, DNP
BV16-13'CL, DS-D-NA  95%   SS-D-NA  28%
CC46'CL, TU-MOR AS-SO-CI-AT-ED GLY-CO-PRO-TEIN 72  TAG 72
